datetime,timestamp,price,action,quantity,balance,networth,reward,done
2023-04-19 13:00:00+00:00,1681909200,29317.3,hold,0.02730856733713463,8210.020375668819,8230.408952042724,-2.78274301165402,False
2023-04-19 14:00:00+00:00,1681912800,29383.7,close_short,0.0,8230.408952042724,8230.408952042724,0.0,False
2023-04-19 15:00:00+00:00,1681916400,29248.2,hold,0.0,8230.408952042724,8230.408952042724,0.0,False
2023-04-19 16:00:00+00:00,1681920000,29303.6,buy,0.02813988194843691,7407.368056838452,8231.967901502667,1.5589494599425961,False
2023-04-19 17:00:00+00:00,1681923600,29314.0,hold,0.02813988194843691,7407.368056838452,8232.26055627493,0.29265477226363146,False
2023-04-19 18:00:00+00:00,1681927200,29258.4,hold,0.02813988194843691,7407.368056838452,8230.695978838598,-1.564577436332911,False
2023-04-19 19:00:00+00:00,1681930800,29214.9,close_long,0.0,8230.695978838598,8230.695978838598,0.0,False
2023-04-19 20:00:00+00:00,1681934400,29227.7,buy,0.028172939078479127,7407.626380954738,8231.056592458803,0.3606136202051857,False
2023-04-19 21:00:00+00:00,1681938000,29163.1,close_long,0.0,8231.056592458803,8231.056592458803,0.0,False
2023-04-19 22:00:00+00:00,1681941600,29061.9,buy,0.028224216878379883,7407.950933212922,8228.20030171071,-2.856290748091851,False
2023-04-19 23:00:00+00:00,1681945200,28797.1,close_long,0.0,8228.20030171071,8228.20030171071,0.0,False
2023-04-20 00:00:00+00:00,1681948800,28905.8,hold,0.0,8228.20030171071,8228.20030171071,0.0,False
2023-04-20 01:00:00+00:00,1681952400,28920.4,sell,0.028465568507741394,8228.20030171071,8227.784704410498,-0.41559730021253927,False
2023-04-20 02:00:00+00:00,1681956000,28731.2,hold,0.028465568507741394,8228.20030171071,8233.170389972163,5.385685561665014,False
2023-04-20 03:00:00+00:00,1681959600,28844.7,hold,0.028465568507741394,8228.20030171071,8229.939547946533,-3.230842025630409,False
2023-04-20 04:00:00+00:00,1681963200,28849.5,hold,0.028465568507741394,8228.20030171071,8229.802913217696,-0.13663472883672512,False
2023-04-20 05:00:00+00:00,1681966800,28879.2,hold,0.028465568507741394,8228.20030171071,8228.957485833016,-0.8454273846800788,False
2023-04-20 06:00:00+00:00,1681970400,28915.1,hold,0.028465568507741394,8228.20030171071,8227.935571923588,-1.0219139094278944,False
2023-04-20 07:00:00+00:00,1681974000,28853.8,hold,0.028465568507741394,8228.20030171071,8229.680511273113,1.7449393495244294,False
2023-04-20 08:00:00+00:00,1681977600,28814.8,close_short,0.0,8229.680511273113,8229.680511273113,0.0,False
2023-04-20 09:00:00+00:00,1681981200,28849.5,hold,0.0,8229.680511273113,8229.680511273113,0.0,False
2023-04-20 10:00:00+00:00,1681984800,28848.5,sell,0.02852625006073975,8229.680511273113,8229.709037523173,0.028526250060167513,False
2023-04-20 11:00:00+00:00,1681988400,28603.1,hold,0.02852625006073975,8229.680511273113,8236.709379288079,7.000341764905897,False
2023-04-20 12:00:00+00:00,1681992000,28879.3,hold,0.02852625006073975,8229.680511273113,8228.830429021302,-7.878950266776883,False
2023-04-20 13:00:00+00:00,1681995600,28810.7,hold,0.02852625006073975,8229.680511273113,8230.787329775469,1.9569007541667816,False
2023-04-20 14:00:00+00:00,1681999200,28705.0,close_short,0.0,8230.787329775469,8230.787329775469,0.0,False
2023-04-20 15:00:00+00:00,1682002800,28489.9,sell,0.028673706078298097,8230.787329775469,8236.95504395291,6.167714177441667,False
2023-04-20 16:00:00+00:00,1682006400,28425.1,hold,0.028673706078298097,8230.787329775469,8238.813100106785,1.8580561538747133,False
2023-04-20 17:00:00+00:00,1682010000,28440.1,hold,0.028673706078298097,8230.787329775469,8238.38299451561,-0.43010559117465164,False
2023-04-20 18:00:00+00:00,1682013600,28350.4,hold,0.028673706078298097,8230.787329775469,8240.955025950832,2.5720314352220157,False
2023-04-20 19:00:00+00:00,1682017200,28100.0,hold,0.028673706078298097,8230.787329775469,8248.134921952838,7.179896002005989,False
2023-04-20 20:00:00+00:00,1682020800,28194.7,close_short,0.0,8248.134921952838,8248.134921952838,0.0,False
2023-04-20 21:00:00+00:00,1682024400,28224.2,buy,0.029254203527446076,7423.321429757554,8248.997920956897,0.8629990040590201,False
2023-04-20 22:00:00+00:00,1682028000,28242.4,hold,0.029254203527446076,7423.321429757554,8249.530347461097,0.5324265041999752,False
2023-04-20 23:00:00+00:00,1682031600,28235.6,hold,0.029254203527446076,7423.321429757554,8249.331418877111,-0.19892858398634417,False
2023-04-21 00:00:00+00:00,1682035200,28287.7,close_long,0.0,8249.331418877111,8249.331418877111,0.0,False
2023-04-21 01:00:00+00:00,1682038800,28200.1,sell,0.02916225574676312,8249.331418877111,8251.886032480528,2.5546136034172378,False
2023-04-21 02:00:00+00:00,1682042400,28243.9,hold,0.02916225574676312,8249.331418877111,8250.60872567882,-1.2773068017086189,False
2023-04-21 03:00:00+00:00,1682046000,28315.0,close_short,0.0,8250.60872567882,8250.60872567882,0.0,False
2023-04-21 04:00:00+00:00,1682049600,28230.5,buy,0.029138649922934204,7425.5478531109375,8248.146509760332,-2.4622159184873453,False
2023-04-21 05:00:00+00:00,1682053200,28155.6,close_long,0.0,8248.146509760332,8248.146509760332,0.0,False
2023-04-21 06:00:00+00:00,1682056800,27908.2,hold,0.0,8248.146509760332,8248.146509760332,0.0,False
