datetime,timestamp,price,action,position_type,quantity,balance,networth,reward,reward_networth,reward_action,reward_market,done,trade_count,profitable_trades,win_rate,total_profit,max_drawdown
2020-04-08 03:00:00+00:00,1586314800,7345.0,hold,None,0.0,10034.127833722563,10034.127833722563,0.0,0.0,0.0,0,False,53,31,0.5849056603773585,34.12783372256648,0.017718612863829523
2020-04-08 04:00:00+00:00,1586318400,7348.0,buy,long,0.2732233583042223,8027.30226697805,10034.947503797475,-118.71554918323027,81.96700749122101,-200.68255667445126,0.0,False,53,31,0.5849056603773585,34.12783372256648,0.017718612863829523
2020-04-08 05:00:00+00:00,1586322000,7403.5,close_long,None,0.0,10034.947503797475,10034.947503797475,81.96700749126668,0.0,81.96700749126668,0.0,False,54,32,0.5925925925925926,34.94750379747914,0.017718612863829523
2020-04-08 06:00:00+00:00,1586325600,7315.0,hold,None,0.0,10034.947503797475,10034.947503797475,0.0,0.0,0.0,0.0,False,54,32,0.5925925925925926,34.94750379747914,0.017718612863829523
2020-04-08 07:00:00+00:00,1586329200,7313.5,buy,long,0.27436630222276076,8027.95800303798,10034.535954344141,-241.85389540938687,-41.154945333437354,-200.6989500759495,0.0,False,54,32,0.5925925925925926,34.94750379747914,0.017718612863829523
2020-04-08 08:00:00+00:00,1586332800,7286.5,close_long,None,0.0,10034.535954344141,10034.535954344141,-41.15494533341412,0.0,-41.15494533341412,0.0,False,55,32,0.5818181818181818,34.535954344145004,0.017718612863829523
2020-04-08 09:00:00+00:00,1586336400,7301.5,sell,short,0.27542814669166654,10034.535954344141,10030.404532143766,-613.796021096059,-413.14222003748,-200.69071908688284,0.036918028303821744,False,55,32,0.5818181818181818,34.535954344145004,0.017718612863829523
2020-04-08 10:00:00+00:00,1586340000,7249.0,close_short,None,0.0,10030.404532143766,10030.404532143766,-413.1422200374998,0.0,-413.1422200374998,0.0,False,56,32,0.5714285714285714,30.404532143770005,0.017718612863829523
2020-04-08 11:00:00+00:00,1586343600,7287.0,hold,None,0.0,10030.404532143766,10030.404532143766,0.0,0.0,0.0,0.0,False,56,32,0.5714285714285714,30.404532143770005,0.017718612863829523
2020-04-08 12:00:00+00:00,1586347200,7271.0,sell,short,0.27529585651554184,10030.404532143766,10034.809265848015,239.91770080555693,440.47337042484287,-200.60809064287537,0.052421023589459555,False,56,32,0.5714285714285714,30.404532143770005,0.017718612863829523
2020-04-08 13:00:00+00:00,1586350800,7219.0,hold,short,0.27529585651554184,10030.404532143766,10049.124650386822,1431.5704107903498,1431.5384538807848,0.01,0.021956909564978533,False,56,32,0.5714285714285714,30.404532143770005,0.017718612863829523
2020-04-08 14:00:00+00:00,1586354400,7266.5,hold,short,0.27529585651554184,10030.404532143766,10036.048097202334,-1307.5638014635308,-1307.6553184488148,0.02,0.07151698528400474,False,56,32,0.5714285714285714,30.404532143770005,0.017718612863829523
2020-04-08 15:00:00+00:00,1586358000,7272.0,hold,short,0.27529585651554184,10030.404532143766,10034.533969991498,-151.3169224965176,-151.41272108357953,0.030000000000000002,0.06579858706192043,False,56,32,0.5714285714285714,30.404532143770005,0.017718612863829523
2020-04-08 16:00:00+00:00,1586361600,7321.5,hold,short,0.27529585651554184,10030.404532143766,10020.90682509398,-1362.666920770912,-1362.714489751852,0.04,0.007568980939929305,False,56,32,0.5714285714285714,30.404532143770005,0.0181230556250446
2020-04-08 17:00:00+00:00,1586365200,7305.0,close_short,None,0.0,10020.90682509398,10020.90682509398,-949.7707049786193,0.0,-949.7707049786193,0.0,False,57,32,0.5614035087719298,20.906825093983812,0.0181230556250446
